Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.52     0.00      884     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      5.52     0.00      872     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      5.52     0.00      867     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char*, char*)
  0.00      5.52     0.00      864     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      5.52     0.00      852     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      5.52     0.00      851     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      5.52     0.00      846     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      5.52     0.00      838     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      5.52     0.00      799     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      5.52     0.00      718     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      5.52     0.00      622     0.00     0.00  std::_Deque_base<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::_M_get_Tp_allocator()
  0.00      5.52     0.00      577     0.00     0.00  std::_Deque_base<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::_M_deallocate_node(std::pair<unsigned char*, unsigned long long>*)
  0.00      5.52     0.00      427     0.00     0.00  std::allocator_traits<std::allocator<std::pair<unsigned char*, unsigned long long> > >::deallocate(std::allocator<std::pair<unsigned char*, unsigned long long> >&, std::pair<unsigned char*, unsigned long long>*, unsigned long)
  0.00      5.52     0.00      386     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      5.52     0.00      356     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      5.52     0.00      345     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const
  0.00      5.52     0.00      322     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      5.52     0.00      318     0.00     0.00  std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      5.52     0.00      315     0.00     0.00  std::less<char const*>::operator()(char const* const&, char const* const&) const
  0.00      5.52     0.00      291     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00      5.52     0.00      214     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_disjunct(char const*) const
  0.00      5.52     0.00      178     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      5.52     0.00      149     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00      5.52     0.00      145     0.00     0.00  std::pair<unsigned char*, unsigned long long>** std::__niter_base<std::pair<unsigned char*, unsigned long long>**>(std::pair<unsigned char*, unsigned long long>**)
  0.00      5.52     0.00      120     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      5.52     0.00      114     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
  0.00      5.52     0.00      110     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
